Compound;Formula;molecular_weight;CAS;city;odor;smiles;Vapor_pressure;retention_time
1,3-butadieno;C6H6;54;106-99-0;city_1;0;C=CC=C;2050;5.03
Trimetilamina;C3H9N;59;75-50-3;city_1;Ammonia;CN(C)C;1680;5.12
Acetaldehido;C2H4O;44;75-07-0;city_1;Beverage;CC=O;910;5.29
Furano;C4H4O;68;110-00-9;city_1;Chemical-Hydrocar;C1=COC=C1;596;6
2-propanona;C3H6O;58;67-64-1;city_1;Chemical-Hydrocar;CC(=O)C;249;6.66
2-metilfurano;C5H6O;82;534-22-5;city_1;Caramel;CC1=CC=CO1;161;8.75
2-butanona;C4H8O;72;78-93-3;city_1;Chemical-Hydrocar;CCC(=O)C;98.5;9.24
2,3-butanodiona;C4H6O2;86;431-03-8;city_1;Baked;CC(=O)C(=O)C;70.2;9.52
Acido acetico metil ester;C3H6O2;74;79-20-9;city_1;Beverage;CC(=O)OC;52.7;9.59
3-metilbutanal;C5H10O;86;590-86-3;city_1;Caramel;CC(C)CC=O;51.6;10.47
2,5-dimetilfurano;C6H8O;96;625-86-5;city_1;Baked;CC1=CC=C(O1)C;49.4;10.48
2-vinilfurano;C6H6O;94;1487-18-9;city_1;0;C=CC1=CC=CO1;38.3;10.73
2-butenal;C4H6O;70;4170-30-3;city_1;0;C/C=C/C=O;31.5;10.86
2,3-pentanodiona;C5H8O2;100;600-14-6;city_1;Baked;CCC(=O)C(=O)C;31.1;11.01
2,5-dimetil-2-hexeno;C8H16;112;3404-78-2;city_1;0;CC(C)CC=C(C)C;26.1;11.09
2-propilfurano;C7H10O;110;4229-91-8;city_1;0;CCCC1=CC=CO1;19.5;12.43
1-metil-1H-pirrol;C5H7N;81;96-54-8;city_1;Aromatic;CN1C=CC=C1;19.5;13.22
Piridina;C5H5N;79;110-86-1;city_1;Ammonia;C1=CC=NC=C1;19.3;13.23
3-penten-2-ona;C5H8O;84;3102-33-8;city_1;Fruty;C/C=C/C(=O)C;17.3;13.55
Acido acetico;C2H4O2;60;64-19-7;city_1;Pungent;CC(=O)O;17.2;13.93
(z)-2-acido butenoico metil ester;C5H5O2;100;4358-59-2;city_1;0;C/C=C\C(=O)OC;17.1;15.95
2,4-dimetil-3-pentanona;C6H10O2;114;565-80-0;city_1;0;CC(C)C(=O)C(C)C;14.9;17.07
2-metilbutanal;C5H10O;86;96-17-3;city_1;Baked;CCC(C)C=O;10.4;18.57
1H-pirrol;C4H5N;67;109-97-7;city_1;Chemical-Hydrocar;C1=CNC=C1;10.1;19.33
2-vinil-5-metilfurano;C7H8O;108;10504-13-9;city_1;0;CC1=CC=C(O1)C=C;9.99;21.3
Pirazina;C4H4N2;80;290-37-9;city_1;Baked;C1=CN=CC=N1;9.66;22.64
2-metoximetilfurano;C6H8O2;112;13679-46-4;city_1;Baked;COCC1=CC=CO1;9.14;22.96
4-metiltiazol;C4H5NS;99;693-95-8;city_1;Alliaceous;CC1=CSC=N1;8.62;23.13
2-metilpirazina;C5H6N2;94;109-08-0;city_1;Baked;CC1=NC=CN=C1;7.29;23.54
3-penten-2-ol;C5H10O;86;1569-50-2;city_1;Chemical-Hydrocar;C/C=C/C(C)O;6.01;24
Estireno;C8H8;104;100-42-5;city_1;Balsamic;C=CC1=CC=CC=C1;5.05;24.58
2-metil-1H-pirrol;C5H7N;81;636-41-9;city_1;0;CC1=CC=CN1;4.61;24.89
2-(dimetilamino)etilester, acido acetico;C6H13NO2;131;1421-89-2;city_1;0;CC(=O)OCCN(C)C;3.65;25.03
Etilpirazina;C6H8N2;108;13925-00-3;city_1;Baked;CCC1=NC=CN=C1;3.57;25.27
2,5-dimetilpirazina;C6H8N2;108;123-32-0;city_1;Baked;CC1=CN=C(C=N1)C;3.18;26.38
2-propiltiofeno;C7H10S;126;1551-27-5;city_1;0;CCCC1=CC=CS1;2.76;26.73
